Hours,Minutes,Seconds,Declination,Sign
20,38,23.7231,0.4361772,Aquarius
20,38,19.1706,2.4360874,Aquarius
20,56,19.4633,2.4773185,Aquarius
21,26,20.0331,2.5393796,Aquarius
21,34,20.2249,2.5544112,Aquarius
21,34,18.8997,3.3043909,Aquarius
21,46,19.2525,3.3256676,Aquarius
21,46,20.9007,2.325691,Aquarius
22,6,21.3012,2.3576119,Aquarius
22,6,20.9441,2.6076074,Aquarius
22,51,22.1321,2.6622071,Aquarius
22,51,23.931,0.6622211,Aquarius
22,51,27.5289,-3.3377509,Aquarius
23,56,24.5307,-3.3042023,Aquarius
23,56,24.7917,-6.3042021,Aquarius
23,56,26.5355,-24.8042011,Aquarius
23,6,43.4319,-24.8250446,Aquarius
21,59,4.8693,-24.9040413,Aquarius
21,58,37.479,-8.4043999,Aquarius
21,26,40.4196,-8.4602947,Aquarius
21,26,51.9483,-14.4601107,Aquarius
20,38,58.5363,-14.5631361,Aquarius
20,38,44.3155,-8.5634165,Aquarius
2,6,39.6594,10.5143948,Aries
1,46,37.3761,10.5432396,Aries
1,46,58.7219,25.6263351,Aries
2,2,3.2907,25.6050701,Aries
2,2,7.3479,27.8550186,Aries
2,32,16.8357,27.8047638,Aries
2,32,24.7665,31.2213154,Aries
2,50,30.8112,31.1865025,Aries
3,29,42.4003,31.1003609,Aries
3,29,9.7494,19.4343338,Aries
3,24,8.9363,19.4461136,Aries
3,23,47.1387,10.3632069,Aries
9,21,37.0221,6.4700689,Cancer
8,11,41.1339,6.6302376,Cancer
8,2,11.6023,6.654985,Cancer
8,2,19.3614,9.6548138,Cancer
7,55,19.7973,9.6734257,Cancer
7,55,29.1853,13.1732168,Cancer
7,55,47.4107,19.6728077,Cancer
8,0,16.8297,19.66082,Cancer
8,0,41.1951,27.6602821,Cancer
8,7,39.8327,27.6419144,Cancer
8,7,58.3755,33.1415138,Cancer
9,22,35.0364,32.9691162,Cancer
20,38,44.3155,-8.5634165,Capricorn
20,6,46.4871,-8.643075,Capricorn
20,6,54.3287,-11.6762342,Capricorn
20,7,39.8327,-27.6419144,Capricorn
20,27,35.5093,-27.5913391,Capricorn
21,27,19.5927,-27.4596672,Capricorn
21,27,13.8661,-24.9597607,Capricorn
21,59,4.8693,-24.9040413,Capricorn
21,58,37.479,-8.4043999,Capricorn
21,26,40.4196,-8.4602947,Capricorn
21,26,51.9483,-14.4601107,Capricorn
20,38,58.5363,-14.5631361,Capricorn
6,25,29.4633,11.9332972,Gemini
6,25,46.5402,17.4328651,Gemini
6,20,16.6981,17.4495068,Gemini
6,20,29.7906,21.4491768,Gemini
6,0,30.0373,21.5098724,Gemini
6,0,34.569,22.8430862,Gemini
6,0,53.0571,28.0092907,Gemini
6,39,51.7579,27.8913116,Gemini
6,40,21.6663,35.390564,Gemini
7,30,14.5725,35.2445297,Gemini
7,53,9.5301,35.1810532,Gemini
7,53,1.9392,33.1812286,Gemini
8,7,58.3755,33.1415138,Gemini
8,7,39.8327,27.6419144,Gemini
8,0,41.1951,27.6602821,Gemini
8,0,16.8297,19.66082,Gemini
7,55,47.4107,19.6728077,Gemini
7,55,29.1853,13.1732168,Gemini
7,37,0.6546,13.2238064,Gemini
7,36,57.8409,12.2238722,Gemini
7,6,59.5746,12.309598,Gemini
7,6,52.2911,9.8097754,Gemini
7,2,52.4303,9.8214874,Gemini
7,2,58.2756,11.8213453,Gemini
10,51,23.931,-0.6622211,Leo
10,51,30.2447,6.3377299,Leo
9,41,35.6201,6.4327669,Leo
9,21,37.0221,6.4700689,Leo
9,22,35.0364,32.9691162,Leo
10,0,20.2525,32.9022789,Leo
10,0,10.1625,27.9024086,Leo
10,36,57.2163,27.8529167,Leo
10,36,50.6106,22.8529778,Leo
10,51,46.2093,22.8376045,Leo
10,51,48.3585,24.8375893,Leo
11,6,43.425,24.8250446,Leo
11,6,46.5595,28.3250256,Leo
11,58,26.1459,28.3040466,Leo
11,58,25.0885,13.3040485,Leo
11,58,24.8963,10.3040485,Leo
11,37,27.7651,10.3082914,Leo
11,37,24.1259,-0.6916979,Leo
11,37,22.1517,-6.6916924,Leo
10,51,18.5133,-6.662179,Leo
15,11,24.7229,-0.4742887,Libra
14,46,24.7422,-0.5269387,Libra
14,46,40.1059,-8.5266848,Libra
14,21,38.0415,-8.5731344,Libra
14,22,3.1419,-22.5727749,Libra
14,22,8.0857,-25.0727024,Libra
15,2,18.3729,-24.9951096,Libra
15,2,31.3847,-29.9948788,Libra
15,47,43.1952,-29.889616,Libra
15,47,15.1353,-20.3902016,Libra
16,2,17.2263,-20.3516178,Libra
16,1,44.9469,-8.3523235,Libra
16,1,32.8689,-3.602587,Libra
15,11,31.6683,-3.72416,Libra
16,22,24.6306,-0.2963768,Ophiuchus
16,22,14.0628,3.7033811,Ophiuchus
16,51,13.4183,3.7852108,Ophiuchus
16,50,48.3558,12.617938,Ophiuchus
17,20,47.0033,12.7061481,Ophiuchus
17,20,42.4507,14.2060347,Ophiuchus
18,20,41.5857,14.3874788,Ophiuchus
18,20,48.7403,12.0543308,Ophiuchus
18,45,33.1308,12.1287737,Ophiuchus
18,45,50.0565,6.3791943,Ophiuchus
18,21,5.9065,6.3047633,Ophiuchus
18,21,11.0427,4.554893,Ophiuchus
18,31,29.0715,4.5860157,Ophiuchus
18,31,33.4319,3.0861249,Ophiuchus
18,21,15.4167,3.0550034,Ophiuchus
18,21,24.1437,0.0552235,Ophiuchus
17,56,24.2491,-0.0206471,Ophiuchus
17,56,35.9289,-4.0203514,Ophiuchus
18,4,35.9217,-3.9960551,Ophiuchus
18,4,53.6919,-9.9956055,Ophiuchus
17,46,53.7017,-10.0502338,Ophiuchus
17,46,58.728,-11.7167768,Ophiuchus
17,41,58.6569,-11.7319136,Ophiuchus
17,41,53.6377,-10.0653696,Ophiuchus
17,16,53.2967,-10.1404381,Ophiuchus
17,17,11.3827,-16.1399899,Ophiuchus
17,43,12.0457,-16.061882,Ophiuchus
17,44,0.4405,-30.0606632,Ophiuchus
16,52,56.4837,-30.2123089,Ophiuchus
16,52,37.3609,-24.7960968,Ophiuchus
16,23,33.9471,-24.8781185,Ophiuchus
16,23,17.5161,-19.545166,Ophiuchus
