Hours,Minutes,Seconds,Declination,Sign
22,57,51.6729,35.1682358,andromeda
22,57,22.2843,53.1680298,andromeda
23,25,48.6945,53.1870041,andromeda
23,25,51.7638,50.6870193,andromeda
23,41,04.9337,50.6929131,andromeda
23,41,06.2589,48.6929169,andromeda
00,16,35.1282,48.6949348,andromeda
00,16,34.3869,46.6949348,andromeda
00,59,06.2585,46.6757545,andromeda
00,59,09.3282,48.6757393,andromeda
01,14,21.2179,48.6632690,andromeda
01,14,25.4169,50.6632347,andromeda
01,29,37.9047,50.6478767,andromeda
01,47,52.4457,50.6257439,andromeda
01,47,43.5455,47.6258430,andromeda
02,10,29.1579,47.5927505,andromeda
02,10,41.7123,51.0925827,andromeda
02,39,32.5149,51.0423737,andromeda
02,38,43.0419,37.2931557,andromeda
02,07,29.0619,37.3470840,andromeda
02,07,25.0201,35.5971375,andromeda
01,31,38.6004,35.6453362,andromeda
01,31,35.3823,33.6453705,andromeda
00,49,46.3353,33.6818962,andromeda
00,49,39.2379,24.4319324,andromeda
00,57,41.7755,24.4266243,andromeda
00,57,39.5557,21.6766376,andromeda
00,14,57.5811,21.6951923,andromeda
00,14,57.7547,22.6951923,andromeda
00,10,26.4039,22.6957588,andromeda
00,10,27.0822,28.6957588,andromeda
00,06,25.4919,28.6960354,andromeda
00,06,25.6745,32.0293655,andromeda
23,51,18.8979,32.0285034,andromeda
23,51,18.7398,32.7785072,andromeda
23,36,11.7979,32.7746468,andromeda
23,36,10.6031,35.1913109,andromeda
09,27,37.0404,-24.5425186,antlia
09,27,05.1837,-37.2920151,antlia
09,26,56.1747,-40.2918739,antlia
11,05,49.5611,-40.4246216,antlia
11,05,55.0471,-35.6746559,antlia
10,55,50.0437,-35.6664963,antlia
10,55,54.6924,-31.8332005,antlia
10,40,48.3309,-31.8185863,antlia
10,40,51.0945,-29.8186131,antlia
10,20,43.5185,-29.7947845,antlia
10,20,47.8410,-27.1281624,antlia
09,50,38.2279,-27.0835037,antlia
09,50,43.1235,-24.5835705,antlia
13,56,26.6661,-83.1200714,apus
18,27,27.8395,-82.4582748,apus
18,16,46.8145,-74.9745178,apus
18,13,07.2185,-67.4800797,apus
17,43,06.1749,-67.5711060,apus
17,12,58.1958,-67.6610870,apus
17,13,52.9629,-70.1597443,apus
14,56,39.9459,-70.5115433,apus
13,49,50.6089,-70.6244431,apus
13,51,07.5441,-75.6235962,apus
20,38,23.7231,0.4361772,aquarius
20,38,19.1706,2.4360874,aquarius
20,56,19.4633,2.4773185,aquarius
21,26,20.0331,2.5393796,aquarius
21,34,20.2249,2.5544112,aquarius
21,34,18.8997,3.3043909,aquarius
21,46,19.2525,3.3256676,aquarius
21,46,20.9007,2.3256910,aquarius
22,06,21.3012,2.3576119,aquarius
22,06,20.9441,2.6076074,aquarius
22,51,22.1321,2.6622071,aquarius
22,51,23.9310,0.6622211,aquarius
22,51,27.5289,-3.3377509,aquarius
23,56,24.5307,-3.3042023,aquarius
23,56,24.7917,-6.3042021,aquarius
23,56,26.5355,-24.8042011,aquarius
23,06,43.4319,-24.8250446,aquarius
21,59,04.8693,-24.9040413,aquarius
21,58,37.4790,-8.4043999,aquarius
21,26,40.4196,-8.4602947,aquarius
21,26,51.9483,-14.4601107,aquarius
20,38,58.5363,-14.5631361,aquarius
20,38,44.3155,-8.5634165,aquarius
18,41,24.0501,0.1154895,aquila
18,41,18.2958,2.1153460,aquila
18,58,18.3421,2.1659052,aquila
18,58,06.2364,6.4156075,aquila
18,45,50.0565,6.3791943,aquila
18,45,33.1308,12.1287737,aquila
18,57,49.5029,12.1651964,aquila
18,57,29.6727,18.6647091,aquila
19,05,30.1185,18.6882229,aquila
19,05,37.3146,16.3550682,aquila
19,55,41.0797,16.4957294,aquila
19,55,42.2400,16.0790844,aquila
20,14,14.1594,16.1275158,aquila
20,14,32.8020,8.8779116,aquila
20,24,03.3495,8.9018240,aquila
20,24,18.9843,2.4021468,aquila
20,38,19.1706,2.4360874,aquila
20,38,23.7231,0.4361772,aquila
20,38,44.3155,-8.5634165,aquila
20,06,46.4871,-8.6430750,aquila
20,06,54.3287,-11.6762342,aquila
18,58,58.5729,-11.8664360,aquila
18,58,35.3503,-3.8336766,aquila
18,41,35.5650,-3.8842230,aquila
16,36,08.3235,-60.2644577,ara
16,34,16.9497,-45.7670517,ara
17,59,14.2281,-45.5163460,ara
18,09,14.1642,-45.4859734,ara
18,10,41.3407,-56.9837723,ara
17,40,40.3655,-57.0747757,ara
17,43,06.1749,-67.5711060,ara
17,12,58.1958,-67.6610870,ara
17,02,53.9959,-67.6905823,ara
17,02,10.1742,-65.1916428,ara
16,57,08.0435,-65.2062531,ara
16,56,46.8330,-63.7900925,ara
16,46,42.3171,-63.8189964,ara
16,46,09.0833,-61.2364578,ara
16,36,19.5912,-61.2641945,ara
02,06,39.6594,10.5143948,aries
01,46,37.3761,10.5432396,aries
01,46,58.7219,25.6263351,aries
02,02,03.2907,25.6050701,aries
02,02,07.3479,27.8550186,aries
02,32,16.8357,27.8047638,aries
02,32,24.7665,31.2213154,aries
02,50,30.8112,31.1865025,aries
03,29,42.4003,31.1003609,aries
03,29,09.7494,19.4343338,aries
03,24,08.9363,19.4461136,aries
03,23,47.1387,10.3632069,aries
04,37,56.8650,30.9218750,auriga
04,38,17.7219,36.2547150,auriga
04,49,49.7625,36.2218513,auriga
04,51,21.6684,52.7196465,auriga
05,09,56.3429,52.6655540,auriga
05,10,25.6235,56.1648331,auriga
06,16,31.4613,55.9658089,auriga
06,16,13.7679,53.9662552,auriga
06,40,11.0475,53.8938293,auriga
06,39,40.6703,49.8945885,auriga
06,57,37.5261,49.8410034,auriga
06,57,03.6727,44.3418388,auriga
07,30,56.1899,44.2435493,auriga
07,30,14.5725,35.2445297,auriga
06,40,21.6663,35.3905640,auriga
06,39,51.7579,27.8913116,auriga
06,00,53.0571,28.0092907,auriga
06,00,54.9367,28.5092430,auriga
04,52,50.9941,28.7124405,auriga
04,52,56.4823,30.2123089,auriga
04,37,54.4293,30.2552605,auriga
15,11,07.5567,7.5253930,bootes
13,36,15.3237,7.3605771,bootes
13,36,06.9433,14.3604937,bootes
13,35,48.9293,27.8603134,bootes
14,03,09.3186,27.8976517,bootes
14,03,05.0061,30.1475964,bootes
14,07,33.3441,30.1545391,bootes
14,06,47.6957,47.9039383,bootes
14,06,20.2539,54.9035759,bootes
14,29,00.2997,54.9422379,bootes
15,18,21.8531,55.0448647,bootes
15,18,37.7697,52.5451736,bootes
15,48,20.2737,52.6174774,bootes
15,48,29.9005,51.1176796,bootes
15,49,27.7025,39.6189079,bootes
15,30,34.4765,39.5721130,bootes
15,30,59.2747,32.5726128,bootes
15,16,03.8205,32.5376778,bootes
15,16,23.8839,25.5380573,bootes
15,10,25.3179,25.5246105,bootes
04,20,18.3390,-39.7007294,caelum
04,19,31.7727,-48.6996651,caelum
04,33,26.9395,-48.7384491,caelum
04,33,41.7831,-46.2387962,caelum
04,53,36.4999,-46.2959023,caelum
04,53,55.7689,-42.7963676,caelum
05,03,53.8665,-42.8255501,caelum
05,05,01.1850,-27.0772038,caelum
04,55,02.2311,-27.0479794,caelum
04,47,03.1995,-27.0248775,caelum
04,46,53.3805,-29.7746429,caelum
04,39,54.3963,-29.7546597,caelum
04,39,26.9701,-36.7540054,caelum
04,20,31.1640,-36.7010231,caelum
06,16,31.4613,55.9658089,camelopardalis
05,10,25.6235,56.1648331,camelopardalis
05,09,56.3429,52.6655540,camelopardalis
04,51,21.6684,52.7196465,camelopardalis
03,29,15.1407,52.9366074,camelopardalis
03,29,31.6561,55.4362831,camelopardalis
03,19,24.9654,55.4596519,camelopardalis
03,19,39.2391,57.4593849,camelopardalis
03,15,36.2232,57.4684982,camelopardalis
03,17,34.9098,68.4662857,camelopardalis
03,36,56.8883,68.4214401,camelopardalis
03,41,14.0997,77.4163132,camelopardalis
03,46,54.2903,77.4025955,camelopardalis
03,50,07.3176,80.3986664,camelopardalis
05,21,57.3347,80.1478500,camelopardalis
05,38,08.6683,85.1239471,camelopardalis
08,31,48.8676,84.6103745,camelopardalis
08,41,36.6601,86.0975418,camelopardalis
14,12,05.5098,85.9308090,camelopardalis
14,27,07.8855,79.4449844,camelopardalis
13,35,14.2055,79.3629303,camelopardalis
13,36,37.6845,76.3638153,camelopardalis
13,03,16.9470,76.3289108,camelopardalis
11,37,44.3511,76.3084106,camelopardalis
11,38,07.5801,79.3083420,camelopardalis
10,51,16.4635,79.3401794,camelopardalis
10,52,25.2999,81.3396072,camelopardalis
09,28,45.8868,81.4677658,camelopardalis
09,22,27.7137,72.9741364,camelopardalis
08,12,20.6949,73.1383743,camelopardalis
08,08,30.9843,59.6433983,camelopardalis
07,11,00.7674,59.8037262,camelopardalis
07,11,24.3726,61.8031464,camelopardalis
06,17,37.7895,61.9641266,camelopardalis
09,21,37.0221,6.4700689,cancer
08,11,41.1339,6.6302376,cancer
08,02,11.6023,6.6549850,cancer
08,02,19.3614,9.6548138,cancer
07,55,19.7973,9.6734257,cancer
07,55,29.1853,13.1732168,cancer
07,55,47.4107,19.6728077,cancer
08,00,16.8297,19.6608200,cancer
08,00,41.1951,27.6602821,cancer
08,07,39.8327,27.6419144,cancer
08,07,58.3755,33.1415138,cancer
09,22,35.0364,32.9691162,cancer
12,06,22.6815,33.3039627,canes_venatici
12,06,21.9399,44.3039627,canes_venatici
12,11,18.3441,44.3043365,canes_venatici
12,11,16.4454,52.3043365,canes_venatici
13,34,58.1757,52.3598061,canes_venatici
13,35,10.8273,47.8599281,canes_venatici
14,06,47.6957,47.9039383,canes_venatici
14,07,33.3441,30.1545391,canes_venatici
14,03,05.0061,30.1475964,canes_venatici
14,03,09.3186,27.8976517,canes_venatici
13,35,48.9293,27.8603134,canes_venatici
13,20,54.3779,27.8437748,canes_venatici
13,20,49.8595,31.3437366,canes_venatici
12,26,13.8465,31.3074341,canes_venatici
12,26,13.0225,33.3074303,canes_venatici
06,12,51.7500,-11.0301533,canis_major
07,27,53.6159,-11.2521448,canis_major
07,26,42.5277,-33.2504692,canis_major
06,39,36.9263,-33.1128159,canis_major
06,11,35.7763,-33.0282326,canis_major
06,11,58.2159,-27.2787991,canis_major
08,11,23.7617,-0.3693900,canis_minor
07,18,23.9199,-0.2243290,canis_minor
07,18,28.0605,1.2755718,canis_minor
07,07,28.1751,1.3074419,canis_minor
07,07,39.4259,5.3071680,canis_minor
07,06,39.4373,5.3100886,canis_minor
